timestamp,compliant,missing,present
2026-02-09T23:16:59,False,"helmet,vest","Mask,NO-Mask,Person"
2026-02-09T23:16:59,False,"helmet,vest","Mask,NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:16:59,False,"helmet,vest","NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:16:59,False,"helmet,vest","NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:16:59,False,"helmet,vest","NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:00,False,"helmet,vest","NO-Mask,Person"
2026-02-09T23:17:00,False,"helmet,vest","NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:00,False,"helmet,vest","NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:00,False,"helmet,vest","NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:00,False,"helmet,vest","NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:00,False,"helmet,vest","NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:00,False,"helmet,vest","NO-Hardhat,NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:00,False,"helmet,vest","NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:00,False,"helmet,vest","NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:00,False,"helmet,vest","NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:00,False,"helmet,vest","NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:00,False,"helmet,vest","NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:00,False,"helmet,vest","NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:00,False,"helmet,vest","NO-Hardhat,NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:01,False,"helmet,vest","NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:01,False,"helmet,vest","NO-Mask,Person"
2026-02-09T23:17:01,False,"helmet,vest","NO-Mask,Person"
2026-02-09T23:17:01,False,"helmet,vest","NO-Mask,Person"
2026-02-09T23:17:01,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:01,False,"helmet,vest",Person
2026-02-09T23:17:01,False,"helmet,vest","NO-Hardhat,Person,Safety Cone"
2026-02-09T23:17:01,False,"helmet,vest","Person,Safety Cone"
2026-02-09T23:17:01,False,"helmet,vest","NO-Hardhat,Person"
2026-02-09T23:17:01,False,"helmet,vest","NO-Hardhat,Person"
2026-02-09T23:17:01,False,"helmet,vest","NO-Hardhat,Person,Safety Cone"
2026-02-09T23:17:01,False,"helmet,vest","NO-Hardhat,Person,Safety Cone"
2026-02-09T23:17:02,False,"helmet,vest","NO-Hardhat,Person,Safety Cone"
2026-02-09T23:17:02,False,"helmet,vest","NO-Hardhat,Person"
2026-02-09T23:17:02,False,"helmet,vest","NO-Hardhat,Person,Safety Cone"
2026-02-09T23:17:02,False,"helmet,vest","NO-Hardhat,Person"
2026-02-09T23:17:02,False,"helmet,vest","NO-Hardhat,Person"
2026-02-09T23:17:02,False,"helmet,vest","NO-Hardhat,Person"
2026-02-09T23:17:02,False,"helmet,vest","NO-Hardhat,Person,Safety Cone"
2026-02-09T23:17:02,False,"helmet,vest","NO-Hardhat,Person"
